"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"1652","ENSMUSG00000042700",2747.51212625116,-0.46624379353007,0.0884187963240757,-5.27312984245088,1.34116605473964e-07,3.91790262647537e-05,"Sipa1l1"
"1690","ENSMUSG00000044807",534.370660919426,-0.468919656227018,0.1867510605357,-2.51093436836134,0.0120412081580046,0.0792476647451072,"Zfp354c"
"2128","ENSMUSG00000074166",153.505247220697,-0.469058750815096,0.147011549541323,-3.19062517386261,0.00141965328632763,0.0219969593348687,"AW146154"
"186","ENSMUSG00000008575",1522.7486453731,-0.469382011740613,0.123074602621726,-3.81380074964187,0.000136845811946206,0.00526112409003588,"Nfib"
"2235","ENSMUSG00000107879",94.5621975885393,-0.469618412276212,0.168221626030753,-2.7916649205992,0.00524376275016252,0.0477212478848272,"9330102E08Rik"
"346","ENSMUSG00000020121",461.4662416116,-0.470136218541166,0.149879059518952,-3.13677054052849,0.00170819757989102,0.0245015517444306,"Srgap1"
"1419","ENSMUSG00000037855",1043.00052791937,-0.470771269675727,0.102076286539221,-4.61195528987862,3.98898807433392e-06,0.000466348969417584,"Zfp365"
"1791","ENSMUSG00000049044",1070.63362106637,-0.474252742874396,0.178482924114491,-2.65713230118405,0.00788085084523806,0.061572139653561,"Rapgef4"
"1641","ENSMUSG00000042485",344.561554316474,-0.476206255888288,0.190156013271317,-2.50429238442663,0.0122696591997854,0.0801017257419828,"Mustn1"
"1253","ENSMUSG00000033581",1032.94297919821,-0.476773340605803,0.0935663891786376,-5.09556203665767,3.47708131878252e-07,7.70952857923158e-05,"Igf2bp2"
"1714","ENSMUSG00000046275",456.441965431284,-0.478697961527195,0.197732546222928,-2.42093661701752,0.0154805762244873,0.0930716270439023,"Trarg1"
"2111","ENSMUSG00000071847",1548.39592568607,-0.479644406747645,0.0974770314544688,-4.92058897968888,8.62841615159547e-07,0.000152001961245915,"Apcdd1"
"434","ENSMUSG00000021140",3382.65135251276,-0.480491638802368,0.156862026528824,-3.06314822927573,0.00219021540628508,0.0288292427070892,"Pcnx"
"1679","ENSMUSG00000044468",576.835871725477,-0.481180477386918,0.190071514188774,-2.53157596729104,0.011355121724881,0.0762703276100732,"Tent5c"
"1277","ENSMUSG00000034220",10448.1742393343,-0.483064595286005,0.18472996947388,-2.61497685871868,0.00892335010788518,0.0658713266856176,"Gpc1"
"1039","ENSMUSG00000030319",137.834759446865,-0.484330791050713,0.162746011692327,-2.97599176787413,0.00292042701283605,0.0341408211162398,"Cand2"
"1502","ENSMUSG00000039349",547.760555710039,-0.48444026265885,0.159286726156487,-3.04130968316171,0.00235551424019641,0.0300813437228658,"C130074G19Rik"
"519","ENSMUSG00000022203",1212.94130679512,-0.488358304595578,0.157652230261678,-3.09769359929116,0.00195032960035505,0.0265972838394125,"Efs"
"509","ENSMUSG00000022096",588.553025886875,-0.490274963869395,0.172520416250965,-2.8418373577084,0.0044854367760234,0.0432404174959976,"Hr"
"1211","ENSMUSG00000032726",1397.76582282449,-0.491367198647832,0.14751383002035,-3.3309907184977,0.000865374877262053,0.016257371038203,"Bmp8a"
"1015","ENSMUSG00000030022",1925.97301817048,-0.491904952531645,0.152078078509122,-3.23455528471935,0.00121832331413285,0.0201642700382864,"Adamts9"
