"","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","mgi_symbol"
"2669","ENSMUSG00000058248",582.033008307427,-0.549168830184267,0.132771565632467,-4.13619307393313,3.53115117152718e-05,0.00120384956772938,"Kcnh1"
"1590","ENSMUSG00000032593",236.000566376079,-0.549304072366794,0.1652164674039,-3.32475376697121,0.000884966556533589,0.0109985252676097,"Amigo3"
"1492","ENSMUSG00000031595",636.838279153049,-0.550232228908359,0.232704472897403,-2.36451075502511,0.0180539031410402,0.0856698749882543,"Pdgfrl"
"1623","ENSMUSG00000033152",1020.26675584684,-0.550764590119247,0.110779025806798,-4.97174068925103,6.63544189965052e-07,8.8046421742973e-05,"Podxl2"
"1842","ENSMUSG00000036898",299.306964698743,-0.557376953258483,0.178683739995486,-3.1193490424622,0.00181251109688612,0.0178846672163681,"Zfp157"
"2443","ENSMUSG00000049036",46.5471920216649,-0.557912598200947,0.222893621479224,-2.50304425267257,0.0123130147436063,0.0663463225456503,"Tmem121"
"629","ENSMUSG00000022010",10735.1404065762,-0.558026298288192,0.190500256779918,-2.92926795858796,0.00339761385482456,0.0271312961502959,"Tsc22d1"
"647","ENSMUSG00000022203",1212.94130679512,-0.560640689843328,0.142964962283039,-3.9215251127992,8.79902759967315e-05,0.00227394151824446,"Efs"
"1893","ENSMUSG00000037664",392.346746402049,-0.563063680808401,0.213839298597475,-2.63311601048737,0.00846054434356984,0.0511335551374639,"Cdkn1c"
"190","ENSMUSG00000006435",323.997756787532,-0.563840501493681,0.160359805358135,-3.51609619526816,0.000437942279233527,0.00685808579541986,"Neurl1a"
"2932","ENSMUSG00000078566",2101.89042632508,-0.5640385384918,0.149140110802284,-3.78193723645243,0.000155612602156483,0.00336078970628953,"Bnip3"
"1606","ENSMUSG00000032816",1429.72304907403,-0.564814717852981,0.13560128454811,-4.16526082135005,3.10996814416072e-05,0.00110146047924407,"Igdcc4"
"2071","ENSMUSG00000039865",61.7703735589225,-0.565226421749313,0.239857544433977,-2.35650883145306,0.0184476289857305,0.0870847844833982,"Slc44a3"
"2211","ENSMUSG00000042097",74.1018648288701,-0.565258709934657,0.242626368497708,-2.32974970294705,0.0198193839193277,0.0916923172795698,"Zfp239"
"2825","ENSMUSG00000069306",117.244661498768,-0.567333004324841,0.247603966274101,-2.29129206959793,0.0219465269719549,0.0988849473875393,"Hist1h4m"
"2853","ENSMUSG00000071073",88.3652991220713,-0.567352510322769,0.165960441416215,-3.41860087549355,0.000629439812325281,0.00871841101752676,"Lrrc73"
"2774","ENSMUSG00000063687",53.1939247962979,-0.569577826068045,0.234270039050099,-2.4312875362873,0.0150452693816319,0.0762356848466604,"Pcdhb5"
"2815","ENSMUSG00000068735",141.234584739852,-0.570489737944789,0.156777501132792,-3.63884954041702,0.000273858735163936,0.00499515594811012,"Trp53i11"
