"","mgi_symbol","LqLc","CqLc","CqCc","LqCc"
"183","Matn2",-0.559608713334499,NA,-0.550133081622469,-0.578935974411286
"184","Me2",0.255430843087595,NA,NA,0.251180910169982
"185","Mef2d",NA,NA,NA,0.204407548319326
"186","Megf10",0.826762390113129,NA,0.822663294056844,0.829226014580692
"187","Mfap1a",-0.174124609134466,NA,NA,-0.178383139886787
"188","Mfsd2b",NA,NA,NA,1.51302087340899
"189","Mgst1",-0.355681215405522,NA,NA,-0.398353313473902
"190","Mical1",0.291393581099566,0.29923813555644,NA,NA
"191","Mical3",NA,NA,0.366486702688272,NA
"192","Micos13",NA,NA,-0.321165707828924,NA
"193","Mlh3",-0.230044854023334,-0.234488784883505,NA,NA
"194","Mme",0.331291198339165,0.328516813383041,NA,NA
"195","Mpdz",0.31317211541232,0.340098454265156,0.407008659124046,0.400678718906705
"196","Mpst",NA,NA,-0.295628342941302,NA
"197","Msi1",0.358511186960543,NA,NA,NA
"198","mt-Atp8",-0.252374238565958,NA,NA,NA
"199","mt-Co3",-0.196710137559431,NA,NA,NA
"200","mt-Nd3",-0.229008845578846,NA,NA,NA
"201","Mus81",NA,NA,NA,-0.357546866955312
"202","Mxd4",0.17145891193389,NA,NA,0.172563867281613
"203","Myo9b",0.164631115408186,0.161571075444529,NA,NA
"204","Nat1",NA,NA,-1.76742727143492,-1.65788640420401
"205","Ncapd3",0.684024619052462,0.670875993135545,NA,NA
"206","Nfib",0.30464735224083,0.339637094482987,NA,NA
"207","Nme4",-0.372286350392038,-0.481171674120036,-0.379713193317697,-0.376057950876388
"208","Nrn1",-0.567851253057181,-0.655910436596316,-0.587935036819796,-0.618543882659881
"209","Olfml3",-0.333460052805838,-0.362664916969752,-0.329967273723881,-0.32268236585005
"210","Otud1",0.344285049777062,0.291507831478972,0.317069108213727,0.330490863058272
"211","Otud6b",NA,-0.95785433777796,NA,NA
"212","Padi4",-1.19853741953126,-1.17901064524167,-1.20561961787158,-1.29647187197169
"213","Pbx3",0.39919474404237,0.438785572032737,0.367242354427506,0.340144543807134
"214","Pccb",NA,NA,-0.326185968955588,NA
"215","Pcdhga10",NA,NA,0.674672723884904,0.666020119172907
"216","Pcdhgb7",NA,NA,-0.44692038619631,-0.431243238685567
"217","Pcp4l1",-0.978847746752136,-1.1058497808613,-1.05664411556598,-1.00774752080979
"218","Pdgfa",0.458573700938946,0.440132898642637,0.464890847795403,0.469073234849208
"219","Pdlim7",0.270104698054907,NA,NA,NA
"220","Peg10",0.605258694241246,0.535467381469578,0.581587895594589,0.598843998967474
"221","Pfas",NA,NA,0.357229154415556,NA
"222","Pgm5",1.75469543342973,NA,NA,1.85269419318555
"223","Phf3",0.320433324276704,NA,NA,NA
"224","Phlda1",0.360999206717326,NA,0.382884765902319,0.461769177804254
"225","Phldb1",NA,NA,NA,0.321200807160095
"226","Phospho1",0.251045956143761,NA,NA,NA
"227","Pias2",NA,0.164792589303523,0.182120800430313,NA
"228","Pim2",0.523541855952973,NA,NA,NA
"229","Plec",0.269041064802492,0.241624165487069,0.253134762732939,0.262262294151808
"230","Plekha1",0.238802222398534,NA,NA,NA
"231","Plekhg4",NA,-0.87474737389064,-0.589794086485374,NA
"232","Podn",-0.546010383268514,NA,NA,NA
"233","Ppp1r37",0.161818434833735,NA,NA,NA
"234","Prdx4",-0.204480498811113,NA,NA,-0.202889183628119
"235","Prg4",-0.970826021096194,-0.977407940119142,-1.01337846632622,-1.0131892750028
"236","Prickle3",0.373336206555343,NA,NA,NA
"237","Prkag2",0.232776635823851,NA,NA,NA
"238","Prkci",NA,NA,NA,0.497956915766766
"239","Prl2c2",-1.88938464422214,-2.01614193620772,-1.96100602686871,-1.81495041564407
"240","Prpf40a",0.403308664165275,NA,NA,NA
"241","Prr14l",NA,NA,-0.515600843044056,NA
"242","Prrc1",NA,NA,0.221388249873311,NA
"243","Prss46",0.899378838035622,NA,NA,0.873955509951938
"244","Psme4",0.123071486088257,0.122590161919164,0.134960850586432,0.120449934244083
"245","Pth1r",0.439225908671176,NA,0.375308456779228,0.411968734412056
"246","Ptn",-1.71391275495983,-1.86251687406836,-1.80800280406581,-1.76061831951574
"247","Ptp4a2",-0.141447076379179,-0.158271039414125,NA,NA
"248","Ptprd",0.341794638522831,0.319800464654371,0.346324518550463,0.335645415134729
"249","Ptx3",-0.976419762039285,-1.02903992042337,-1.00872570644788,-0.991673152539422
"250","Pygl",-0.414396186801362,-0.429223900156061,NA,NA
"251","Qsox1",0.39105617794827,NA,NA,NA
"252","Rab3b",-1.28302574600581,-1.37924953630394,-1.3915133840911,-1.41178735584119
"253","Rasgrf2",NA,1.78207016296369,NA,NA
"254","Rbpms2",0.36456338380998,NA,NA,NA
"255","Rere",NA,0.221958154282739,0.253732686814441,NA
"256","Ric8a",0.227066391985092,NA,NA,NA
"257","Rnd3",NA,NA,-0.175787319895618,-0.201602845835309
"258","Rps29",-0.150281796707951,-0.165913321507077,NA,NA
"259","Runx2",0.439340348394959,0.399684349478086,0.519064292896935,0.543608411714317
"260","Safb",NA,NA,0.253605174677373,0.313356166264129
"261","Satb2",NA,NA,NA,0.427341597056473
"262","Scube1",0.607652401153726,NA,NA,0.580820341092677
"263","Sdf4",-0.137491329734414,-0.139866019688984,-0.14704487070615,-0.141534941819921
"264","Sdr39u1",NA,-1.14549307972148,NA,NA
"265","Sec16b",NA,NA,NA,0.26791545179823
"266","Sec31a",0.142982727001589,NA,NA,NA
"267","Sel1l",NA,NA,0.167420880996748,0.175325861887763
"268","Selenoi",NA,NA,0.427006606476876,0.421847876187194
"269","Sema3e",-1.19788935974521,-1.08591982574336,-1.19956908240256,-1.2005812777705
"270","Sema3f",-1.25425752076091,NA,NA,NA
"271","Serpina3c",-0.907245945389595,NA,NA,NA
"272","Serpina3g",-0.647449304524673,NA,NA,NA
"273","Serpina3m",-0.808728400506333,NA,-0.796565446953709,-0.810725889889951
"274","Serpina3n",-0.773394710395026,NA,NA,NA
"275","Serpinb1a",NA,NA,-1.58660380980275,NA
"276","Serpinb9",-0.334079599963758,NA,NA,-0.341137849798638
"277","Setd5",0.159054878132999,0.17098900521815,NA,NA
"278","Sfrp1",-0.584237405158102,NA,-0.577471418498828,-0.584686306651755
"279","Sgms2",NA,NA,0.358025234006243,NA
"280","Sh3bp4",0.30891068988839,NA,0.281333871067621,0.286141987757662
"281","Shf",0.304948687535893,NA,NA,0.337311231647777
"282","Shox2",NA,NA,NA,0.333999243142986
"283","Slc12a4",0.188590996820557,NA,0.176899944965276,NA
"284","Slc1a2",NA,NA,1.77315737110288,NA
"285","Slc1a6",-0.951972852520139,NA,-1.01006320083873,NA
"286","Slc20a2",0.326677562440461,0.361266356115049,0.347631225350469,0.381025308030263
"287","Slc39a14",0.21916249715661,NA,0.202956374412277,0.220579074774201
"288","Slc44a2",-1.12078871013225,-1.48765660144241,NA,NA
"289","Slc7a2",-0.363084388470041,-0.365558267404514,-0.357540202629336,-0.358890431951365
"290","Slc9a2",NA,NA,1.1326032689053,NA
"291","Slk",NA,0.144354078974753,NA,NA
"292","Smad4",0.162355091971242,NA,NA,NA
"293","Smad5",0.16013176661781,0.16113228007672,0.195350104767538,0.187245994750513
"294","Smg5",0.1673914441525,NA,NA,NA
"295","Smoc2",-1.12868303925867,-1.13819490145885,-1.1147306767653,-1.13923670965557
"296","Sp7",0.344989620097756,NA,NA,NA
